IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT
6031510,SUPPLY IMPLANT,Supply/Implant,"$2,323.20 "
6031511,SUPPLY IMPLANT,Supply/Implant,"$5,067.01 "
6031512,STERILE SUPPLY,Supply/Implant,$145.15 
6031513,GENERAL DRUG,Supply/Implant,$893.44 
6031515,"INTRO/SHEATH, NON-LASER",Supply/Implant,"$1,350.40 "
6031520,STERILE SUPPLY,Supply/Implant,$761.34 
6031524,STERILE SUPPLY,Supply/Implant,$257.15 
6031531,SUPPLY IMPLANT,Supply/Implant,$249.60 
6031536,SUPPLY IMPLANT,Supply/Implant,"$2,323.20 "
6031539,SUPPLY IMPLANT,Supply/Implant,$606.67 
6031545,STERILE SUPPLY,Supply/Implant,$627.84 
6031550,"CATHETER, URETERAL",Supply/Implant,$240.00 
6031558,SUPPLY IMPLANT,Supply/Implant,$158.46 
6031559,SUPPLY IMPLANT,Supply/Implant,$158.46 
6031560,SUPPLY IMPLANT,Supply/Implant,$512.00 
6031566,SUPPLY IMPLANT,Supply/Implant,$143.36 
6031568,"CATHETER, URETERAL",Supply/Implant,$137.73 
6031572,SUPPLY IMPLANT,Supply/Implant,"$1,551.36 "
6031573,SUPPLY IMPLANT,Supply/Implant,"$1,551.36 "
6031575,GENERAL SUPPLY,Supply/Implant,$183.42 
6031576,SUPPLY IMPLANT,Supply/Implant,"$2,019.58 "
6031580,SUPPLY IMPLANT,Supply/Implant,$595.58 
6031588,SUPPLY IMPLANT,Supply/Implant,"$3,520.00 "
6031592,SUPPLY IMPLANT,Supply/Implant,"$4,328.19 "
6031593,SUPPLY IMPLANT,Supply/Implant,"$4,328.19 "
6031601,SUPPLY IMPLANT,Supply/Implant,"$11,888.68 "
6031602,SUPPLY IMPLANT,Supply/Implant,$267.65 
6031605,SUPPLY IMPLANT,Supply/Implant,"$1,957.76 "
6031606,MESH (IMPLANTABLE),Supply/Implant,"$2,086.40 "
6031608,STERILE SUPPLY,Supply/Implant,$312.54 
6031609,GENERAL SUPPLY,Supply/Implant,$137.34 
6031610,SUPPLY IMPLANT,Supply/Implant,$640.00 
6031613,SUPPLY IMPLANT,Supply/Implant,"$1,142.78 "
6031620,SUPPLY IMPLANT,Supply/Implant,"$1,152.00 "
6031622,SUPPLY IMPLANT,Supply/Implant,$384.03 
6031624,STERILE SUPPLY,Supply/Implant,$530.66 
6031627,STERILE SUPPLY,Supply/Implant,$219.39 
6031628,SUPPLY IMPLANT,Supply/Implant,"$2,252.80 "
6031630,SUPPLY IMPLANT,Supply/Implant,$320.00 
6031631,SUPPLY IMPLANT,Supply/Implant,"$3,328.00 "
6031639,GENERAL SUPPLY,Supply/Implant,$524.80 
6031641,SUPPLY IMPLANT,Supply/Implant,$405.38 
6031644,STERILE SUPPLY,Supply/Implant,$537.60 
6031647,SUPPLY IMPLANT,Supply/Implant,"$23,680.00 "
6031652,SUPPLY IMPLANT,Supply/Implant,$954.24 
6031654,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,272.32 "
6031655,SUPPLY IMPLANT,Supply/Implant,"$5,165.44 "
6031663,SUPPLY IMPLANT,Supply/Implant,$134.40 
6031666,"PROS, URINARY SPH, IMP",Supply/Implant,"$74,967.04 "
6031668,STERILE SUPPLY,Supply/Implant,$198.91 
6031669,MESH (IMPLANTABLE),Supply/Implant,"$4,809.09 "
6031670,SUPPLY IMPLANT,Supply/Implant,$512.00 
6031671,SUPPLY IMPLANT,Supply/Implant,$512.00 
6031672,SUPPLY IMPLANT,Supply/Implant,$960.00 
6031676,GENERAL SUPPLY,Supply/Implant,"$1,834.88 "
6031677,SUPPLY IMPLANT,Supply/Implant,$322.94 
6031678,SUPPLY IMPLANT,Supply/Implant,"$11,456.00 "
6031680,STERILE SUPPLY,Supply/Implant,$284.67 
6031685,SUPPLY IMPLANT,Supply/Implant,$782.08 
6031686,STERILE SUPPLY,Supply/Implant,$883.20 
6031691,"CATHETER, URETERAL",Supply/Implant,$308.19 
6031692,"INTRO/SHEATH, NON-LASER",Supply/Implant,$425.09 
6031696,"STENT, COATED/COV W/DEL SYS",Supply/Implant,"$37,381.38 "
6031697,SUPPLY IMPLANT,Supply/Implant,"$2,799.74 "
6031701,SUPPLY IMPLANT,Supply/Implant,$678.40 
6031703,STERILE SUPPLY,Supply/Implant,$259.56 
6031706,STERILE SUPPLY,Supply/Implant,"$5,789.44 "
6031707,SUPPLY IMPLANT,Supply/Implant,$281.60 
6031711,SUPPLY IMPLANT,Supply/Implant,$256.00 
6031712,SUPPLY IMPLANT,Supply/Implant,$409.60 
6031713,SUPPLY IMPLANT,Supply/Implant,$322.56 
6031722,SUPPLY IMPLANT,Supply/Implant,$441.98 
6031724,SUPPLY IMPLANT,Supply/Implant,"$2,199.17 "
6031725,SUPPLY IMPLANT,Supply/Implant,"$2,844.16 "
6031726,SUPPLY IMPLANT,Supply/Implant,"$3,737.60 "
6031728,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$17,305.60 "
6031729,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$7,198.46 "
6031730,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$5,120.00 "
6031737,SUPPLY IMPLANT,Supply/Implant,"$2,188.54 "
6031738,SUPPLY IMPLANT,Supply/Implant,"$2,124.80 "
6031739,SUPPLY IMPLANT,Supply/Implant,"$2,503.94 "
6031742,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$3,136.00 "
6031753,SUPPLY IMPLANT,Supply/Implant,"$2,803.20 "
6031759,SUPPLY IMPLANT,Supply/Implant,$632.86 
6031762,"CATH, TRANSLUMIN NON-LASER",Supply/Implant,"$3,520.00 "
6031768,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$2,742.27 "
6031769,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,497.60 "
6031770,SUPPLY IMPLANT,Supply/Implant,$256.00 
6031772,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,512.00 "
6031775,SUPPLY IMPLANT,Supply/Implant,"$11,992.19 "
6031776,SUPPLY IMPLANT,Supply/Implant,"$3,904.00 "
6031779,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$7,040.00 "
6031780,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,915.20 "
6031787,SUPPLY IMPLANT,Supply/Implant,"$6,921.60 "
6031795,SUPPLY IMPLANT,Supply/Implant,"$1,848.96 "
6031797,SUPPLY IMPLANT,Supply/Implant,$323.20 
6031803,SUPPLY IMPLANT,Supply/Implant,"$2,992.79 "
6031805,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$947.20 
6031807,SUPPLY IMPLANT,Supply/Implant,$313.60 
6031808,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$8,960.00 "
6031809,SUPPLY IMPLANT,Supply/Implant,"$3,697.02 "
6031810,SUPPLY IMPLANT,Supply/Implant,$314.24 
6031811,SUPPLY IMPLANT,Supply/Implant,$921.60 
6031812,SUPPLY IMPLANT,Supply/Implant,$245.76 
6031813,"GASTRO/JEJUNO TUBE, STD",Supply/Implant,"$1,280.00 "
6031814,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$8,960.00 "
6031815,SUPPLY IMPLANT,Supply/Implant,"$67,840.00 "
6031816,SUPPLY IMPLANT,Supply/Implant,$499.20 
6031817,SUPPLY IMPLANT,Supply/Implant,"$6,720.00 "
6031820,SUPPLY IMPLANT,Supply/Implant,"$5,120.00 "
6031821,SUPPLY IMPLANT,Supply/Implant,"$3,456.00 "
6031822,SUPPLY IMPLANT,Supply/Implant,"$1,032.32 "
6031826,SUPPLY IMPLANT,Supply/Implant,"$7,028.74 "
6031829,SUPPLY IMPLANT,Supply/Implant,$672.13 
6031841,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6031844,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,563.20 "
6031845,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,732.80 "
6031848,SUPPLY IMPLANT,Supply/Implant,"$1,280.00 "
6031849,SUPPLY IMPLANT,Supply/Implant,"$1,042.05 "
6031852,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,870.40 "
6031853,SUPPLY IMPLANT,Supply/Implant,"$28,655.49 "
6031858,SUPPLY IMPLANT,Supply/Implant,$940.80 
6031859,SUPPLY IMPLANT,Supply/Implant,$590.59 
6031862,SUPPLY IMPLANT,Supply/Implant,"$20,106.75 "
6031866,GENERAL SUPPLY,Supply/Implant,$468.35 
6031867,SUPPLY IMPLANT,Supply/Implant,"$13,104.90 "
6031868,SUPPLY IMPLANT,Supply/Implant,"$14,090.37 "
6031877,SUPPLY IMPLANT,Supply/Implant,"$3,375.10 "
6031878,STERILE SUPPLY,Supply/Implant,$206.98 
6031879,GENERAL SUPPLY,Supply/Implant,$277.63 
6031880,SUPPLY IMPLANT,Supply/Implant,$270.08 
6031882,SUPPLY IMPLANT,Supply/Implant,"$6,912.00 "
6031886,SUPPLY IMPLANT,Supply/Implant,$226.05 
6031888,SUPPLY IMPLANT,Supply/Implant,"$1,256.81 "
6031890,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6031891,SUPPLY IMPLANT,Supply/Implant,$632.70 
6031897,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$17,305.60 "
6031899,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$6,169.60 "
6031900,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,520.00 "
6031901,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,664.00 "
6031905,STERILE SUPPLY,Supply/Implant,"$1,671.68 "
6031907,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,059.20 "
6031909,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,993.60 "
6031913,GUIDE WIRE,Supply/Implant,"$1,331.20 "
6031916,SUPPLY IMPLANT,Supply/Implant,"$2,867.20 "
6031920,SUPPLY IMPLANT,Supply/Implant,$317.44 
6031921,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,059.20 "
6031922,"NEUROMATRIX NERVE CUFF, CM",Supply/Implant,"$23,109.12 "
6031926,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,352.00 "
6031927,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$12,242.30 "
6031931,SUPPLY IMPLANT,Supply/Implant,$317.44 
6031932,SUPPLY IMPLANT,Supply/Implant,"$8,640.00 "
6031935,SUPPLY IMPLANT,Supply/Implant,$591.26 
6031936,SUPPLY IMPLANT,Supply/Implant,$591.26 
6031937,SUPPLY IMPLANT,Supply/Implant,$548.48 
6031939,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,643.14 "
6031940,SUPPLY IMPLANT,Supply/Implant,$570.88 
6031942,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,062.40 "
6031944,SUPPLY IMPLANT,Supply/Implant,"$1,331.20 "
6031945,SUPPLY IMPLANT,Supply/Implant,"$1,216.00 "
6031949,SUPPLY IMPLANT,Supply/Implant,"$13,184.00 "
6031958,SUPPLY IMPLANT,Supply/Implant,"$23,040.00 "
6031960,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,734.40 "
6031968,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6031970,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,734.40 "
6031971,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,536.00 "
6031978,SUPPLY IMPLANT,Supply/Implant,$288.00 
6031981,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,977.60 "
6031986,SUPPLY IMPLANT,Supply/Implant,$362.88 
6031988,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,397.76 "
6031989,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,612.80 "
6031992,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$627.20 
6031993,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,785.60 "
6031994,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$632.32 
6032002,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6032003,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6032004,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,612.80 "
6032006,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,062.40 "
6032014,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,504.00 "
6032018,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,059.20 "
6032020,"NEUROMATRIX NERVE CUFF, CM",Supply/Implant,"$23,109.12 "
6032024,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,736.00 "
6032025,SUPPLY IMPLANT,Supply/Implant,$524.54 
6032026,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,932.80 "
6032027,SUPPLY IMPLANT,Supply/Implant,"$4,544.00 "
6032029,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$8,614.40 "
6032032,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$11,200.00 "
6032033,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$13,977.60 "
6032035,SUPPLY IMPLANT,Supply/Implant,"$11,233.02 "
6032041,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,682.37 "
6032043,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,012.48 "
6032044,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,012.48 "
6032045,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,012.48 "
6032046,STERILE SUPPLY,Supply/Implant,"$1,280.00 "
6032048,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,352.00 "
6032050,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,880.00 "
6032058,SUPPLY IMPLANT,Supply/Implant,"$19,111.55 "
6032059,"NEUROMATRIX NERVE CUFF, CM",Supply/Implant,"$23,109.12 "
6032060,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,299.20 "
6032068,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,075.20 "
6032069,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,075.20 "
6032073,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,932.80 "
6032074,SUPPLY IMPLANT,Supply/Implant,"$1,932.80 "
6032076,STERILE SUPPLY,Supply/Implant,$518.40 
6032077,STERILE SUPPLY,Supply/Implant,$518.40 
6032078,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,880.00 "
6032082,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,052.80 "
6032086,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$825.60 
6032091,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$7,449.34 "
6032092,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,331.20 "
6032112,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,088.00 "
6032118,SUPPLY IMPLANT,Supply/Implant,"$1,036.80 "
6032120,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,105.92 "
6032124,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,454.08 "
6032125,SUPPLY IMPLANT,Supply/Implant,"$1,792.00 "
6032126,STERILE SUPPLY,Supply/Implant,"$1,664.00 "
6032130,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,062.40 "
6032131,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,280.00 "
6032132,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,280.00 "
6032133,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,280.00 "
6032135,SUPPLY IMPLANT,Supply/Implant,"$2,880.00 "
6032138,STERILE SUPPLY,Supply/Implant,$213.12 
6032143,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,012.48 "
6032145,SUPPLY IMPLANT,Supply/Implant,"$1,792.00 "
6032148,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$11,059.20 "
6032152,SUPPLY IMPLANT,Supply/Implant,$409.60 
6032162,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,696.70 "
6032165,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,561.60 "
6032167,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,878.40 "
6032168,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,696.70 "
6032171,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,560.00 "
6032172,STERILE SUPPLY,Supply/Implant,$249.60 
6032173,SUPPLY IMPLANT,Supply/Implant,$249.60 
6032174,SUPPLY IMPLANT,Supply/Implant,"$2,624.00 "
6032175,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,880.00 "
6032177,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,696.70 "
6032184,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,925.50 "
6032185,STERILE SUPPLY,Supply/Implant,$486.40 
6032189,SUPPLY IMPLANT,Supply/Implant,"$2,432.00 "
6032195,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,105.92 "
6032197,STERILE SUPPLY,Supply/Implant,"$15,360.00 "
6032203,SUPPLY IMPLANT,Supply/Implant,$288.00 
6032208,SUPPLY IMPLANT,Supply/Implant,"$1,433.60 "
6032212,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,150.40 "
6032219,"GASTRO/JEJUNO TUBE, STD",Supply/Implant,"$1,280.00 "
6032220,SUPPLY IMPLANT,Supply/Implant,"$2,240.00 "
6032224,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$6,028.80 "
6032227,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,926.40 "
6032228,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$580.74 
6032229,SUPPLY IMPLANT,Supply/Implant,$288.00 
6032240,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,032.00 "
6032242,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,926.40 "
6032245,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,499.84 "
6032246,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,072.00 "
6032250,JOINT DEVICE (IMPLANTABLE),Supply/Implant,"$13,118.08 "
6032253,SUPPLY IMPLANT,Supply/Implant,"$3,375.10 "
6032254,SUPPLY IMPLANT,Supply/Implant,"$3,375.10 "
6032258,"GASTRO/JEJUNO TUBE, STD",Supply/Implant,"$1,280.00 "
6032259,"GASTRO/JEJUNO TUBE, STD",Supply/Implant,"$1,280.00 "
6032260,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,924.74 "
6032261,GUIDE WIRE,Supply/Implant,$669.57 
6032266,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$517.12 
6032267,SUPPLY IMPLANT,Supply/Implant,$779.60 
6032268,SUPPLY IMPLANT,Supply/Implant,$852.56 
6032271,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032272,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,280.00 "
6032276,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,088.00 "
6032277,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,088.00 "
6032278,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,088.00 "
6032283,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,377.60 "
6032284,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$7,257.60 "
6032285,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,062.40 "
6032287,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,114.24 "
6032288,SUPPLY IMPLANT,Supply/Implant,"$6,080.00 "
6032289,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032290,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032291,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,756.16 "
6032293,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,114.24 "
6032297,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032299,SUPPLY IMPLANT,Supply/Implant,"$8,534.40 "
6032300,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,114.24 "
6032301,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032302,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,984.64 "
6032310,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,280.00 "
6032311,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032312,GENERAL SUPPLY,Supply/Implant,"$3,686.40 "
6032313,GENERAL SUPPLY,Supply/Implant,"$3,955.20 "
6032319,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,880.00 "
6032329,SUPPLY IMPLANT,Supply/Implant,"$5,977.60 "
6032334,SUPPLY IMPLANT,Supply/Implant,"$3,697.02 "
6032343,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,397.76 "
6032344,SUPPLY IMPLANT,Supply/Implant,"$60,800.00 "
6032345,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,648.00 "
6032346,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,560.00 "
6032347,SUPPLY IMPLANT,Supply/Implant,"$3,375.10 "
6032348,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,560.00 "
6032350,STERILE SUPPLY,Supply/Implant,$529.92 
6032353,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,089.60 "
6032354,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,880.00 "
6032357,SUPPLY IMPLANT,Supply/Implant,"$6,220.80 "
6032365,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$998.40 
6032369,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$998.40 
6032382,SUPPLY IMPLANT,Supply/Implant,"$6,656.00 "
6032384,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,880.00 "
6032389,SUPPLY IMPLANT,Supply/Implant,"$52,838.40 "
6032397,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$448.00 
6032398,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$448.00 
6032401,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,408.00 "
6032402,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,344.00 "
6032403,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,344.00 "
6032404,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,344.00 "
6032405,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,648.00 "
6032406,STERILE SUPPLY,Supply/Implant,$249.60 
6032407,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,032.00 "
6032408,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,030.40 "
6032410,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,344.00 "
6032412,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$448.00 
6032413,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$448.00 
6032414,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$10,060.80 "
6032415,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,406.40 "
6032416,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,$580.74 
6032417,SUPPLY IMPLANT,Supply/Implant,"$4,218.88 "
6032418,GUIDE WIRE,Supply/Implant,$407.81 
6032419,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032420,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032423,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$17,114.24 "
6032425,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,512.00 "
6032426,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,128.96 "
6032427,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,128.96 "
6032429,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,535.68 "
6032430,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,535.68 "
6032431,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,535.68 "
6032432,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$4,089.60 "
6032433,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$5,174.40 "
6032435,GENERAL SUPPLY,Supply/Implant,$148.48 
6032438,KO IMMOBILIZER CANVAS LONGIT,Supply/Implant,$762.62 
6032439,GENERAL SUPPLY,Supply/Implant,$275.46 
6032442,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032443,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$12,057.60 "
6032454,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$1,062.40 "
6032461,SUPPLY IMPLANT,Supply/Implant,"$2,214.40 "
6032466,SUPPLY IMPLANT,Supply/Implant,"$6,656.00 "
6032468,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$3,648.00 "
6032470,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032471,"ANCHOR/SCREW BN/BN,TIS/BN",Supply/Implant,"$2,350.08 "
6032478,GENERAL SUPPLY,Supply/Implant,$130.56 
6032480,SUPPLY IMPLANT,Supply/Implant,$373.63 
6032484,GENERAL SUPPLY,Supply/Implant,$151.68 
6032496,STERILE SUPPLY,Supply/Implant,$172.03 
6032500,"CATH, THROMBECTOMY/EMBOLECT",Supply/Implant,"$1,043.20 "
6032501,GENERAL SUPPLY,Supply/Implant,$138.24 
6032512,GENERAL SUPPLY,Supply/Implant,$819.20 
6032515,SUPPLY IMPLANT,Supply/Implant,$533.12 
6032518,SUPPLY IMPLANT,Supply/Implant,"$1,210.11 "
6032522,SUPPLY IMPLANT,Supply/Implant,$633.98 
6032523,SUPPLY IMPLANT,Supply/Implant,$150.53 
6032524,SUPPLY IMPLANT,Supply/Implant,$146.18 
6032525,SUPPLY IMPLANT,Supply/Implant,$691.20 
